Model,Model Hash,Accuracy,Precision,Recall,F1_score,ROC_AUC,Confusion_Matrix
random_forest,c115d943648f0a94283360f3e70a67e9f1cf714da89e553986386ea41e92a054.pkl,1.0000,1.0000,1.0000,1.0000,1.0000,"[[2, 0], [0, 14]]"
random_forest,c115d943648f0a94283360f3e70a67e9f1cf714da89e553986386ea41e92a054.pkl,0.9848,0.9886,0.9848,0.9859,0.9947,"[[3, 0], [1, 62]]"
random_forest,c115d943648f0a94283360f3e70a67e9f1cf714da89e553986386ea41e92a054.pkl,0.9848,0.9886,0.9848,0.9859,0.9947,"[[3, 0], [1, 62]]"
random_forest,c115d943648f0a94283360f3e70a67e9f1cf714da89e553986386ea41e92a054.pkl,0.7935,0.8214,0.7935,0.7651,0.9578,"[[12, 18], [1, 61]]"
random_forest,c115d943648f0a94283360f3e70a67e9f1cf714da89e553986386ea41e92a054.pkl,0.4933,0.7724,0.4933,0.3971,0.9424,"[[12, 76], [0, 62]]"
random_forest,c115d943648f0a94283360f3e70a67e9f1cf714da89e553986386ea41e92a054.pkl,0.9933,0.9934,0.9933,0.9931,1.0000,"[[13, 2], [0, 285]]"
random_forest,c115d943648f0a94283360f3e70a67e9f1cf714da89e553986386ea41e92a054.pkl,0.3353,0.8012,0.3353,0.2271,0.9487,"[[52, 668], [0, 285]]"
random_forest,c115d943648f0a94283360f3e70a67e9f1cf714da89e553986386ea41e92a054.pkl,0.9933,0.9934,0.9933,0.9931,1.0000,"[[13, 2], [0, 285]]"
random_forest,c115d943648f0a94283360f3e70a67e9f1cf714da89e553986386ea41e92a054.pkl,0.9933,0.9934,0.9933,0.9931,1.0000,"[[13, 2], [0, 285]]"
random_forest,c115d943648f0a94283360f3e70a67e9f1cf714da89e553986386ea41e92a054.pkl,0.9933,0.9934,0.9933,0.9931,1.0000,"[[13, 2], [0, 285]]"
random_forest,c115d943648f0a94283360f3e70a67e9f1cf714da89e553986386ea41e92a054.pkl,0.3353,0.8012,0.3353,0.2271,0.9487,"[[52, 668], [0, 285]]"
random_forest,c115d943648f0a94283360f3e70a67e9f1cf714da89e553986386ea41e92a054.pkl,0.7821,0.8344,0.7821,0.7379,0.9761,"[[38, 90], [0, 285]]"
random_forest,c115d943648f0a94283360f3e70a67e9f1cf714da89e553986386ea41e92a054.pkl,0.7821,0.8344,0.7821,0.7379,0.9761,"[[38, 90], [0, 285]]"
random_forest,c115d943648f0a94283360f3e70a67e9f1cf714da89e553986386ea41e92a054.pkl,0.9933,0.9934,0.9933,0.9931,1.0000,"[[13, 2], [0, 285]]"
random_forest,c115d943648f0a94283360f3e70a67e9f1cf714da89e553986386ea41e92a054.pkl,0.9933,0.9934,0.9933,0.9931,1.0000,"[[13, 2], [0, 285]]"
random_forest,c115d943648f0a94283360f3e70a67e9f1cf714da89e553986386ea41e92a054.pkl,0.6142,0.3773,0.6142,0.4674,0.6387,"[[0, 179], [0, 285]]"
random_forest,c115d943648f0a94283360f3e70a67e9f1cf714da89e553986386ea41e92a054.pkl,0.7821,0.8344,0.7821,0.7379,0.9761,"[[38, 90], [0, 285]]"
